service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
14ETEB-UPCBus-Dimanche-00,0,0,0,0,0,0,1,20140713,20140831
14ETEW-A-D-Dimanche-00,0,0,0,0,0,0,1,20140629,20140831
14ETEB-UPEBus-Dimanche-00,0,0,0,0,0,0,1,20140713,20140831
14ETEW-B-F-Dimanche-01,0,0,0,0,0,0,1,20140815,20140817
14ETEB-UPK-Dimanche-00,0,0,0,0,0,0,1,20140713,20140831
14ETEW-C-E-Dimanche-01,0,0,0,0,0,0,1,20140720,20140831
14ETEB-21-Dimanche-01,0,0,0,0,0,0,1,20140714,20140815
14ETEB-31-Dimanche-00,0,0,0,0,0,0,1,20140713,20140824
14ETEB-71-72-Dimanche-00,0,0,0,0,0,0,1,20140713,20140831
14ETEB-NAV_NDF-Semaine-00,0,1,0,0,0,1,0,20140708,20140830
14ETEB-NAV_ROST-Semaine-00,1,1,1,1,1,0,0,20140707,20140830
14ETEB-NAV_ROST-Dimanche-00,0,0,0,0,0,0,1,20140713,20140831
14ETEB-NUIT-Semaine-00,0,0,0,1,1,1,0,20140710,20140830
14ETEB-NHC-Dimanche-01,0,0,0,0,0,0,1,20140713,20140824
14SEPB-UPCBus-Dimanche-00,0,0,0,0,0,0,1,20140907,20150614
14SEPW-A-D-Dimanche-00,0,0,0,0,0,0,1,20140907,20150614
14SEPB-UPEBus-Dimanche-00,0,0,0,0,0,0,1,20140907,20150614
14SEPW-B-F-Dimanche-00,0,0,0,0,0,0,1,20140907,20150614
14SEPB-UPK-Dimanche-01,0,0,0,0,0,0,1,20140907,20150621
14SEPW-C-E-Dimanche-00,0,0,0,0,0,0,1,20140907,20150614
14SEPB-21-Dimanche-00,0,0,0,0,0,0,1,20140907,20150621
14SEPB-21-Dimanche-01,0,0,0,0,0,0,1,20140914,20141111
14SEPB-31-Dimanche-00,0,0,0,0,0,0,1,20140907,20150621
14SEPB-71-72-Dimanche-00,0,0,0,0,0,0,1,20140907,20150621
14SEPB-NAV_NDF-Semaine-00,0,1,0,0,0,1,0,20140902,20150620
14SEPB-NAV_ROST-Semaine-00,1,1,1,1,1,0,0,20140901,20150620
14SEPB-NAV_ROST-Dimanche-00,0,0,0,0,0,0,1,20140907,20150621
14SEPB-NHC-Dimanche-01,0,0,0,0,0,0,1,20140907,20150621
14SEPB-NUIT-Semaine-00,0,0,0,1,1,1,0,20140904,20150620
14ETEB-12-Semaine-01,1,1,1,1,1,0,0,20140707,20140829
14ETEB-21-Dimanche-00,0,0,0,0,0,0,1,20140713,20140831
14ETEB-21-Samedi-00,0,0,0,0,0,1,0,20140712,20140830
14ETEB-21-Semaine-00,1,1,1,1,1,0,0,20140707,20140829
14ETEB-27-Samedi-00,0,0,0,0,0,1,0,20140712,20140830
14ETEB-27-Semaine-00,1,1,1,1,1,0,0,20140707,20140829
14ETEB-31-Samedi-00,0,0,0,0,0,1,0,20140712,20140830
14ETEB-31-Semaine-00,1,1,1,1,1,0,0,20140707,20140829
14ETEB-71-72-Samedi-00,0,0,0,0,0,1,0,20140712,20140830
14ETEB-71-72-Semaine-00,1,1,1,1,1,0,0,20140707,20140829
14ETEB-87-Samedi-02,0,0,0,0,0,1,0,20140809,20140809
14ETEB-87-Semaine-00,1,1,1,1,1,0,0,20140807,20140808
14ETEB-87-Semaine-01,1,1,1,1,1,0,0,20140804,20140806
14ETEB-NHC-Samedi-01,0,0,0,0,0,1,0,20140712,20140830
14ETEB-NHC-Semaine-01,1,1,1,1,1,0,0,20140707,20140829
14ETEB-UPCBus-Samedi-00,0,0,0,0,0,1,0,20140712,20140830
14ETEB-UPC-Semaine-90,1,1,1,1,1,0,0,20140707,20140829
14ETEB-UPEBus-Samedi-00,0,0,0,0,0,1,0,20140712,20140830
14ETEB-UPEBus-Semaine-01,1,1,1,1,1,0,0,20140707,20140829
14ETEB-UPK-Samedi-00,0,0,0,0,0,1,0,20140712,20140830
14ETEB-UPK-Semaine-00,1,1,1,1,1,0,0,20140707,20140829
14ETEW-A-D-Samedi-00,0,0,0,0,0,1,0,20140628,20140830
14ETEW-A-D-Samedi-01,0,0,0,0,0,1,0,20140719,20140823
14ETEW-A-D-Samedi-03,0,0,0,0,0,1,0,20140809,20140809
14ETEW-A-D-Semaine-00,1,1,1,1,1,0,0,20140715,20140822
14ETEW-A-D-Semaine-01,1,1,1,1,1,0,0,20140623,20140829
14ETEW-A-D-Semaine-12,1,1,1,1,1,0,0,20140807,20140808
14ETEW-A-D-Semaine-16,1,1,1,1,1,0,0,20140804,20140806
14ETEW-B-F-Dimanche-00,0,0,0,0,0,0,1,20140629,20140831
14ETEW-B-F-Samedi-00,0,0,0,0,0,1,0,20140628,20140830
14ETEW-B-F-Samedi-01,0,0,0,0,0,1,0,20140719,20140809
14ETEW-B-F-Samedi-04,0,0,0,0,0,1,0,20140816,20140823
14ETEW-B-F-Semaine-00,1,1,1,1,1,0,0,20140623,20140829
14ETEW-B-F-Semaine-02,1,1,1,1,1,0,0,20140715,20140808
14ETEW-B-F-Semaine-04,1,1,1,1,1,0,0,20140811,20140822
14ETEW-C-E-Samedi-00,0,0,0,0,0,1,0,20140628,20140830
14ETEW-C-E-Samedi-01,0,0,0,0,0,1,0,20140719,20140823
