route_id,service_id,trip_id,trip_headsign,direction_id,block_id
G-26,14ETEB-UPCBus-Dimanche-00,6577669-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577670-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577671-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577672-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577673-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577674-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577675-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577676-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577677-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577678-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577679-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577680-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577681-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577682-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577683-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577684-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577685-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577686-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577687-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577688-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577689-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577690-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577691-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577692-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563623
G-26,14ETEB-UPCBus-Dimanche-00,6577693-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577694-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577695-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577696-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577697-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563623
G-26,14ETEB-UPCBus-Dimanche-00,6577698-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577699-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563623
G-26,14ETEB-UPCBus-Dimanche-00,6577700-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577701-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577702-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577703-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577704-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577705-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577706-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563623
G-26,14ETEB-UPCBus-Dimanche-00,6577707-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577708-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563623
G-26,14ETEB-UPCBus-Dimanche-00,6577709-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577710-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563623
G-26,14ETEB-UPCBus-Dimanche-00,6577711-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577712-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577713-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563623
G-26,14ETEB-UPCBus-Dimanche-00,6577714-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577715-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563623
G-26,14ETEB-UPCBus-Dimanche-00,6577716-14ETEB-UPCBus-Dimanche-00,"Gare Centrale",1,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577717-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577718-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577719-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577720-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577721-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577722-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577723-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577724-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577725-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577726-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577727-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577728-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577729-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577730-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577731-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577732-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577733-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577734-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577735-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577736-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577737-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563623
G-26,14ETEB-UPCBus-Dimanche-00,6577738-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577739-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563623
G-26,14ETEB-UPCBus-Dimanche-00,6577740-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577741-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577742-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563621
G-26,14ETEB-UPCBus-Dimanche-00,6577743-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577744-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563623
G-26,14ETEB-UPCBus-Dimanche-00,6577745-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563622
G-26,14ETEB-UPCBus-Dimanche-00,6577746-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563623
G-26,14ETEB-UPCBus-Dimanche-00,6577747-14ETEB-UPCBus-Dimanche-00,"Espace Européen de l'Entreprise",0,563621
