service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10-TR1,0,0,0,0,0,0,0,20150309,20150529
11-TR1,0,0,0,0,0,0,0,20150309,20150529
12-TR1,0,0,0,0,0,0,0,20150309,20150529
13-TR1,0,0,0,0,0,0,0,20150309,20150529
14-TR1,0,0,0,0,0,0,0,20150309,20150529
1-TR1,1,1,1,1,1,0,0,20150309,20150529
2-TR1,0,0,0,0,0,1,0,20150309,20150529
3-TR1,0,0,0,0,0,0,1,20150309,20150529
4-TR1,1,1,1,1,0,0,0,20150309,20150529
5-TR1,0,0,0,0,0,0,1,20150309,20150529
6-TR1,0,0,0,0,1,0,0,20150309,20150529
7-TR1,0,0,0,0,0,0,1,20150309,20150529
8-TR1,1,1,0,1,1,0,0,20150309,20150529
9-TR1,0,0,1,0,0,0,0,20150309,20150529
