service_id,date,exception_type
10-TR1,20150417,1
10-TR1,20150424,1
10-TR1,20150515,1
11-TR1,20150413,1
11-TR1,20150414,1
11-TR1,20150415,1
11-TR1,20150416,1
11-TR1,20150420,1
11-TR1,20150421,1
11-TR1,20150422,1
11-TR1,20150423,1
12-TR1,20150413,1
12-TR1,20150414,1
12-TR1,20150415,1
12-TR1,20150416,1
12-TR1,20150417,1
12-TR1,20150420,1
12-TR1,20150421,1
12-TR1,20150422,1
12-TR1,20150423,1
12-TR1,20150424,1
12-TR1,20150515,1
13-TR1,20150412,1
13-TR1,20150419,1
13-TR1,20150426,1
13-TR1,20150503,1
13-TR1,20150510,1
13-TR1,20150514,1
13-TR1,20150517,1
13-TR1,20150524,1
13-TR1,20150525,1
14-TR1,20150508,1
1-TR1,20150406,2
1-TR1,20150413,2
1-TR1,20150414,2
1-TR1,20150415,2
1-TR1,20150416,2
1-TR1,20150417,2
1-TR1,20150420,2
1-TR1,20150421,2
1-TR1,20150422,2
1-TR1,20150423,2
1-TR1,20150424,2
1-TR1,20150501,2
1-TR1,20150508,2
1-TR1,20150514,2
1-TR1,20150515,2
1-TR1,20150525,2
3-TR1,20150406,1
3-TR1,20150508,1
3-TR1,20150514,1
3-TR1,20150525,1
4-TR1,20150406,2
4-TR1,20150413,2
4-TR1,20150414,2
4-TR1,20150415,2
4-TR1,20150416,2
4-TR1,20150420,2
4-TR1,20150421,2
4-TR1,20150422,2
4-TR1,20150423,2
4-TR1,20150514,2
4-TR1,20150525,2
5-TR1,20150406,1
5-TR1,20150514,1
5-TR1,20150525,1
6-TR1,20150417,2
6-TR1,20150424,2
6-TR1,20150501,2
6-TR1,20150508,2
6-TR1,20150515,2
7-TR1,20150406,1
7-TR1,20150412,2
7-TR1,20150419,2
7-TR1,20150426,2
7-TR1,20150503,2
7-TR1,20150510,2
7-TR1,20150517,2
7-TR1,20150524,2
8-TR1,20150406,2
8-TR1,20150413,2
8-TR1,20150414,2
8-TR1,20150416,2
8-TR1,20150417,2
8-TR1,20150420,2
8-TR1,20150421,2
8-TR1,20150423,2
8-TR1,20150424,2
8-TR1,20150501,2
8-TR1,20150508,2
8-TR1,20150514,2
8-TR1,20150515,2
8-TR1,20150525,2
9-TR1,20150415,2
9-TR1,20150422,2
