trip_id,arrival_time,departure_time,stop_id,stop_sequence
848338,06:55:00,06:55:00,1133,1
848338,06:56:00,06:56:00,1134,2
848338,06:57:00,06:57:00,1135,3
848338,07:00:00,07:00:00,1136,4
848338,07:02:00,07:02:00,1137,5
848338,07:03:00,07:03:00,1138,6
848338,07:05:00,07:05:00,1139,7
848338,07:07:00,07:07:00,1140,8
848338,07:08:00,07:08:00,1141,9
848338,07:10:00,07:10:00,1142,10
848338,07:12:00,07:12:00,1143,11
848338,07:14:00,07:14:00,1144,12
848338,07:16:00,07:16:00,1145,13
848338,07:19:00,07:19:00,1146,14
848338,07:21:00,07:21:00,1147,15
848338,07:23:00,07:23:00,1148,16
848338,07:25:00,07:25:00,1149,17
848338,07:27:00,07:27:00,1150,18
848338,07:29:00,07:29:00,1151,19
848338,07:31:00,07:31:00,1152,20
848338,07:33:00,07:33:00,1153,21
848338,07:35:00,07:35:00,1154,22
848338,07:36:00,07:36:00,1155,23
848338,07:37:00,07:37:00,1156,24
848338,07:39:00,07:39:00,1158,25
848338,07:40:00,07:40:00,1157,26
851275,10:18:00,10:18:00,696,1
851275,10:19:00,10:19:00,691,2
851275,10:21:00,10:21:00,692,3
851275,10:21:00,10:21:00,693,4
851275,10:22:00,10:22:00,694,5
851275,10:24:00,10:24:00,703,6
851275,10:24:00,10:24:00,704,7
851275,10:24:00,10:24:00,705,8
851275,10:25:00,10:25:00,706,9
851275,10:26:00,10:26:00,707,10
851275,10:27:00,10:27:00,708,11
851275,10:29:00,10:29:00,721,12
850254,08:35:00,08:35:00,574,1
850254,08:36:00,08:36:00,575,2
850254,08:37:00,08:37:00,577,3
850254,08:40:00,08:40:00,570,4
850254,08:41:00,08:41:00,569,5
850254,08:42:00,08:42:00,572,6
850254,08:44:00,08:44:00,571,7
850254,08:45:00,08:45:00,1368,8
850254,08:46:00,08:46:00,567,9
850254,08:46:00,08:46:00,568,10
850254,08:48:00,08:48:00,876,11
850254,08:50:00,08:50:00,877,12
850254,08:58:00,08:58:00,1335,13

